274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,
153.08,147.64,155.27,140.99,149.15,144.48,153.06,143.06,155.11,141.95,130.64,136.62,149.82,142.61,141.85,146.74,148.41,144.49,151.69,150.15,145.05,151.9,148.12,149.67,Pep95,ErbB4-pY875-18mer,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,
149.13,148.13,147.32,151.43,143.3,139.87,142.61,153.34,145.85,139.93,141.56,151.89,144.82,133.11,147.64,148.81,140.08,142.88,143.13,143.06,155.1,145.74,148.79,155.66,Pep95,ErbB4-pY875-18mer,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,
152.05,129.41,150.35,139.54,136.4,142.61,147.21,145.09,146.17,148.86,137.81,139.5,143.77,147.12,146.2,139.39,139.03,138.46,141.55,142.66,141.8,141.56,137.27,139.2,Pep95,ErbB4-pY875-18mer,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,
144.36,149.1,150.08,138.7,141.65,153.5,145.37,143.96,146.47,144.06,144.89,147.35,137.3,145.57,150.53,144.69,146.04,147.6,141.79,139.68,141.77,138.81,140.14,149.09,Pep95,ErbB4-pY875-18mer,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,
149.47,142.34,145.14,140.89,137.61,143.49,121.71,124.91,145.31,143.89,142.86,141.49,145.3,147.76,142.58,137.02,145.06,134.45,139.83,142.52,145.32,146.69,140.79,139.64,Pep95,ErbB4-pY875-18mer,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,
142.83,152.37,153.8,151.27,148.1,143.28,125.22,128.81,147.08,143.15,150.75,143.19,141.87,153.28,145.84,148.91,138.79,147.41,149.42,135.61,147.4,141.92,144.64,135.66,Pep95,ErbB4-pY875-18mer,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,
146.48,134.56,143.5,142.68,142.26,136.79,138.62,134.65,138.2,143.43,141.68,133.5,143.84,139.51,143.41,146.67,148.27,147.72,140.82,143.04,141.75,139.68,143.92,144.52,Pep95,ErbB4-pY875-18mer,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,
140.83,141.59,147.91,149.51,134.01,147.7,139.25,145.8,149.53,145.24,144.24,144.78,141.07,147.44,147.1,150.94,152.09,141.98,142.97,139.45,139.68,148.79,142.95,152.89,Pep95,ErbB4-pY875-18mer,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,
134.77,144.98,124.83,131.64,135.14,142.62,139.33,133.84,136.79,143.29,147.32,144.39,137.78,136.62,142.88,145.57,143.94,133.91,144.71,145.53,138.86,139.2,147.97,146.29,Pep95,ErbB4-pY875-18mer,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,
126.21,142.13,132.25,124.83,136.42,141.5,141.65,140.14,138.74,143.96,138.09,142.48,144.62,150.44,145.9,143.54,145.25,140.48,143.36,146.24,141.48,145.99,137.02,131.71,Pep95,ErbB4-pY875-18mer,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,
142.73,142.46,145.45,147.19,139.47,134.74,144.73,139.68,146.64,139.75,146.34,137.95,145.38,140.07,143.07,137.97,136.76,140.9,141.62,140.94,140.83,143.98,146.46,149.91,Pep95,ErbB4-pY875-18mer,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,
145.54,131.32,147.46,143.22,141.06,141.75,140.48,142.68,140.2,141.49,144.68,136.02,140.66,142.75,139.02,140.25,149.14,136.7,145.06,145.97,143.14,148.83,146.41,131.05,Pep95,ErbB4-pY875-18mer,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,
113.36,120.55,145.52,140.5,132.56,139.37,146,140.69,121.94,135.35,147.83,142.34,140.47,138.87,140.06,143.31,152.37,147.39,134.86,146.83,142.85,134.12,143.47,137.45,Pep95,ErbB4-pY875-18mer,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,
129.02,130.93,137.32,142.56,144,141.78,144.68,146.22,136.66,144.98,142.99,140.52,141.95,136.33,143.32,139.81,136.97,139.49,144.31,134.69,137.69,138.53,143.6,131.69,Pep95,ErbB4-pY875-18mer,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,
123.35,141.8,154.78,139.06,140.39,135.81,139.34,144.43,137.46,135.88,143.66,141.53,146.16,144.76,148.3,141.54,142.99,145.76,147.14,132.06,139.5,145.11,149.98,145.19,Pep95,ErbB4-pY875-18mer,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,
