306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,
137.74,135.88,147.66,135.29,147.76,134.3,147.32,134.48,145.04,140.87,139.88,146.42,146.11,145.44,139.42,143.56,136.04,151.76,142.28,144.77,151.06,144.52,140.27,155.25,Pep95,ErbB4-pY875-18mer,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,,
141.18,144.84,132.07,134.93,143.15,143.64,141.68,145.94,147.33,141.37,137.8,138.04,133.9,142.95,144.37,137.71,136.45,139.45,145.54,143.85,141.77,141.36,149.75,141.71,Pep95,ErbB4-pY875-18mer,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,,
139.29,154.53,141.32,147.29,143.46,146.32,141.93,131.54,142.36,135.62,141.83,137.3,139.28,143.35,144.89,143.96,142.45,139.54,135.38,146.54,136.09,150.25,152.06,143.81,Pep95,ErbB4-pY875-18mer,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,,
134.9,148.11,139.44,140.02,143.51,145.2,131.88,138.22,131.2,133.11,141.88,137.45,143.8,148.78,139.58,139.25,142.12,145.72,136.61,146.7,148.07,141.51,147.74,143.69,Pep95,ErbB4-pY875-18mer,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,,
146.06,138.14,136.48,134.64,126.42,137.1,138.25,134.47,144.21,145.61,142.76,144.21,139.07,136.25,136.73,141.56,146.95,133.45,139.72,135.51,136.65,149.63,139.68,144.11,Pep95,ErbB4-pY875-18mer,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,,
141.2,134.97,142.13,146.69,146.12,137.39,152.14,142.02,144.51,151.14,133.37,130.31,142.52,141.66,138.18,138.76,141.8,146.83,139.19,148.03,138.46,147.75,141.79,140.63,Pep95,ErbB4-pY875-18mer,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,,
130.95,134.11,135.74,141.75,140.14,134.4,136.51,140.6,139.95,141.08,138.39,139.61,145.52,136.44,139.11,131.44,144.47,140.15,139.23,136.91,144.36,143.3,144.34,141.55,Pep95,ErbB4-pY875-18mer,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,,
131,142.97,137.44,139.66,142.07,139.92,144.07,152.73,143.51,143.91,138.59,134.38,142.22,141.34,140.71,136.23,133.25,141.03,143.46,147.7,142.19,143.25,141,147.29,Pep95,ErbB4-pY875-18mer,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,,
141.08,121.97,133.8,133.68,138.19,139.46,133.12,134.02,136.16,140.94,144.01,144.57,132.58,140.75,141.25,137.63,135.88,132.56,134.85,136.86,143.32,142.4,142.86,145.96,Pep95,ErbB4-pY875-18mer,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,,
131.09,133.57,132.71,138.58,140.34,141.35,142.59,142.47,134.5,137.19,140.94,142.91,149.65,139.07,138.79,145.1,143.36,137.59,144.76,132.26,143.11,138.46,143.69,132.23,Pep95,ErbB4-pY875-18mer,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,,
