35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,4.5,4.5,2.25,2.25,1.125,1.125,0.5625,0.5625,0.28125,0.28125,0.140625,0.140625,0.0703125,0.0703125,0.03515625,0.03515625,0.017578125,0.017578125,0.008789063,0.008789063,0.004394531,0.004394531
32.01,-2.92,-10.49,-21.97,-15.59,-31.01,-17.35,-33.62,-16.17,-38.47,-13.36,-37.38,-16.95,-37.3,-12.28,-33.69,-9.83,-30.43,-14.47,-34.06,-8.73,-60.01,0,0,Pep258,ErbB2-pY735,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC
14.96,16.44,-4.97,3.67,-9.52,-12.5,-6.41,-6.69,-3.16,-15.55,-11.1,-20.04,-9.92,-18.98,-8.41,-15.11,-6.65,-10.01,-9,-11.53,1.67,-13.65,0,0,Pep258,ErbB2-pY735,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC
27.25,92.75,8.47,98.29,-4.22,90.98,-14.44,95.76,-10.06,87.52,-9.83,81.35,-2.64,66.48,-4.9,53.69,-8.58,21.1,-7.36,-8.2,-4.81,-2.69,0,0,Pep258,ErbB2-pY735,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B
23.01,32.27,8.22,10.54,0.32,11.99,-0.28,-1.45,-1.59,-8.54,-10.69,-13.69,-6.25,-11.69,-12.44,-10.26,-4.5,-15.02,-10.28,-17.56,-6.2,-7.77,0,0,Pep258,ErbB2-pY735,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C
22.28,14.92,1.54,7.05,-3.04,-9.44,-3.46,-2.49,-1.67,-2.17,-13.81,-7.84,-8.59,-4,-4.78,-8.62,-8.42,-10.19,-7.28,-13.26,-6.55,-7.18,0,0,Pep258,ErbB2-pY735,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N
8.13,19.58,-7.75,0.69,-12.45,-4.61,-16.81,-12.05,-5.62,-0.36,-17.54,-7.04,-5.59,-6.1,-13.62,-4.77,-12.68,-5.08,-5.54,-7.91,-13.09,-2.25,0,0,Pep258,ErbB2-pY735,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC
5.58,1.99,-10.62,-8.47,-4.19,-6.16,-8.58,-7.59,-2.08,-2.47,-7.94,-17.27,-3,-8.46,0.11,-6.55,-4.6,-7.28,-6.19,-5.98,-6.89,-9.65,0,0,Pep258,ErbB2-pY735,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC
91.32,-1.25,77.18,2.39,52.21,-6.81,42.26,-3.62,20.32,-2.41,8.91,-8.25,-0.28,-5.04,-5.05,-5.44,-7.25,-4.88,-8.2,-1.18,-1.83,-3.19,0,0,Pep258,ErbB2-pY735,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N
15.1,6.54,6.88,0.74,-3.85,-8.4,-5.59,-1.73,3.17,-3.82,-5.35,-3.24,-4.21,-3.55,-3.03,-1.4,-0.15,-4.29,-0.19,-8.24,5.32,-4,0,0,Pep258,ErbB2-pY735,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N 
40.05,79.78,19.72,44.7,9.03,29.44,-0.18,11.03,1.59,6.48,-1.51,-2.95,-2.39,-3.93,-4.24,-4.52,-5.73,-2.61,-4.32,-1.08,-3.23,-2.17,0,0,Pep258,ErbB2-pY735,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK
