24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202.64,185.47,193.14,184.76,188.62,181.57,185.29,177.41,188.39,182.9,182.24,178.26,182.59,178.75,181.37,178.84,190.51,179.37,187.51,186.38,186.23,182,186.17,168.07,Peptide699,ErbB1-pY978,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,179.96,22.68,5.51,13.18,4.8,8.66,1.61,5.33,-2.55,8.43,2.94,2.28,-1.7,2.63,-1.21,1.41,-1.12,10.55,-0.59,7.55,6.42,6.27,2.04,6.21,-11.89
217.48,192.8,202.13,177.84,193.89,183.39,192.91,178.88,178.37,181.79,183.25,179.46,182.71,178.44,181.47,182.19,189.23,180.68,181.32,184.4,187.42,181.12,181.41,184.91,Peptide699,ErbB1-pY978,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,37.52,12.84,22.17,-2.12,13.93,3.43,12.95,-1.08,-1.59,1.83,3.29,-0.5,2.75,-1.52,1.51,2.23,9.27,0.72,1.36,4.44,7.46,1.16,1.45,4.95
192.02,194.54,185.97,184.89,182.22,182.36,176.37,180.24,186.73,179.07,176.5,178.94,179.08,177.87,182.59,182.07,181.23,176.53,183.59,173.86,178.82,179.61,184.23,181.17,Peptide699,ErbB1-pY978,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,12.06,14.58,6.01,4.93,2.26,2.4,-3.59,0.28,6.77,-0.89,-3.46,-1.02,-0.88,-2.09,2.63,2.11,1.27,-3.43,3.63,-6.1,-1.14,-0.35,4.27,1.21
193.61,247.23,176.58,235.94,185.06,217.64,180.27,204.34,178.97,195.65,181.28,184.97,180.73,182.54,176.65,179.16,183.19,184.8,178.43,179.22,187.54,182.48,183.49,182.42,Peptide699,ErbB1-pY978,TNS3,LYN,TNS3,LYN,TNS3,LYN,TNS3,LYN,TNS3,LYN,TNS3,LYN,TNS3,LYN,TNS3,LYN,TNS3,LYN,TNS3,LYN,TNS3,LYN,TNS3,LYN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,13.65,67.27,-3.38,55.98,5.1,37.68,0.31,24.38,-0.99,15.69,1.32,5.01,0.77,2.58,-3.31,-0.8,3.23,4.84,-1.53,-0.74,7.58,2.52,3.53,2.46
201.43,197.41,187.33,192.06,181.73,189,183.77,179.75,177.67,184.93,182.85,180.49,185.84,179.03,187.43,180.65,183.48,176.58,182.08,178.43,184.68,177.61,179.53,177.42,Peptide699,ErbB1-pY978,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,21.47,17.45,7.37,12.1,1.77,9.04,3.81,-0.21,-2.29,4.97,2.89,0.53,5.88,-0.93,7.47,0.69,3.52,-3.38,2.12,-1.53,4.72,-2.35,-0.43,-2.54
187.13,198.29,173.5,189.25,181.58,185.91,182.05,180.26,183.05,176.33,173.92,180.11,178.61,180.4,186,183.64,181.9,180.43,175.48,178.84,184.4,182.81,180.08,187.09,Peptide699,ErbB1-pY978,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7.17,18.33,-6.46,9.29,1.62,5.95,2.09,0.3,3.09,-3.63,-6.04,0.15,-1.35,0.44,6.04,3.68,1.94,0.47,-4.48,-1.12,4.44,2.85,0.12,7.13
189.92,193,182.22,183.55,180.59,180.16,183.59,175.79,180.63,176.64,180.77,176.56,180.18,180.4,180.32,176.21,181.63,175.95,174.46,171.81,179.28,179.98,183.61,184.41,Peptide699,ErbB1-pY978,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,9.96,13.04,2.26,3.59,0.63,0.2,3.63,-4.17,0.67,-3.32,0.81,-3.4,0.22,0.44,0.36,-3.75,1.67,-4.01,-5.5,-8.15,-0.68,0.02,3.65,4.45
187.08,195.47,175.79,185.78,179.01,186.84,182.5,181.28,177.45,179.43,178.78,182.17,172.69,184.59,177.86,181.43,178.46,176.75,176.87,180.01,178.07,183.97,183.89,182,Peptide699,ErbB1-pY978,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7.12,15.51,-4.17,5.82,-0.95,6.88,2.54,1.32,-2.51,-0.53,-1.18,2.21,-7.27,4.63,-2.1,1.47,-1.5,-3.21,-3.09,0.05,-1.89,4.01,3.93,2.04
200.1,177.04,185.51,181.9,185.47,170.08,183.59,176.31,179.5,176.25,185.64,179.62,175.46,176.71,180.67,175.61,177.35,176.81,179.6,178.27,176.46,177.34,181.61,180.45,Peptide699,ErbB1-pY978,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,20.14,-2.92,5.55,1.94,5.51,-9.88,3.63,-3.65,-0.46,-3.71,5.68,-0.34,-4.5,-3.25,0.71,-4.35,-2.61,-3.15,-0.36,-1.69,-3.5,-2.62,1.65,0.49
199.43,217.6,188.42,201.59,182.72,192.68,179.79,183.99,176.15,184.36,180.76,171.71,177.94,180.07,180.03,175.99,173.03,179.6,179.97,176.71,175.95,181.26,177.85,181.05,Peptide699,ErbB1-pY978,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,19.47,37.64,8.46,21.63,2.76,12.72,-0.17,4.03,-3.81,4.4,0.8,-8.25,-2.02,0.11,0.07,-3.97,-6.93,-0.36,0.01,-3.25,-4.01,1.3,-2.11,1.09
