18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194.31,178.07,186.26,158.58,181.03,172.75,176.17,163.46,171.17,168.64,165.89,171.15,175.66,167.04,176.43,173.16,173.1,172.07,175.34,175.74,171.03,169.15,168.12,175.13,,Peptide432,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,167.165,27.145,10.905,19.095,-8.585,13.865,5.585,9.005,-3.705,4.005,1.475,-1.275,3.985,8.495,-0.125,9.265,5.995,5.935,4.905,8.175,8.575,3.865,1.985,0.955,7.965
179.56,175.9,174.67,175.22,177.04,176.04,179.92,169.04,176.13,169.43,166.73,167.51,169.74,128.89,171.32,159.75,172.17,175.02,171.54,166.13,163.51,175.14,173.06,172.02,,Peptide432,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,12.395,8.735,7.505,8.055,9.875,8.875,12.755,1.875,8.965,2.265,-0.435,0.345,2.575,-38.275,4.155,-7.415,5.005,7.855,4.375,-1.035,-3.655,7.975,5.895,4.855
180.91,165.56,175.94,168.47,171.16,171.67,168.81,172.43,165.29,173.54,187.37,166.81,169.06,170.28,175.52,174.58,174.62,166.74,170.73,165.01,176.89,165.28,171.53,177.49,,Peptide432,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,13.745,-1.605,8.775,1.305,3.995,4.505,1.645,5.265,-1.875,6.375,20.205,-0.355,1.895,3.115,8.355,7.415,7.455,-0.425,3.565,-2.155,9.725,-1.885,4.365,10.325
185.95,174.45,183.31,179,178.14,179.16,178.63,171.55,168.97,173.95,174.23,168.29,170.57,170.14,174.09,171.2,172.78,173.44,169.17,173.02,159.76,169.67,171.34,166.51,,Peptide432,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,18.785,7.285,16.145,11.835,10.975,11.995,11.465,4.385,1.805,6.785,7.065,1.125,3.405,2.975,6.925,4.035,5.615,6.275,2.005,5.855,-7.405,2.505,4.175,-0.655
175.81,183.42,173.3,172.59,166.83,176.28,167.8,166.35,170.86,168.21,168.43,166.84,168.57,171.04,171.11,167.38,173.51,170.24,166.34,167.32,168.13,172.68,178.44,177.16,,Peptide432,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,8.645,16.255,6.135,5.425,-0.335,9.115,0.635,-0.815,3.695,1.045,1.265,-0.325,1.405,3.875,3.945,0.215,6.345,3.075,-0.825,0.155,0.965,5.515,11.275,9.995
205.85,177.69,192.61,178.87,190.17,169.58,177.88,173.62,187.28,167.58,173.77,168.52,175.07,169.45,175.14,165.56,166.31,173.66,165.06,167.05,171.66,167.17,170.9,173.42,,Peptide432,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,38.685,10.525,25.445,11.705,23.005,2.415,10.715,6.455,20.115,0.415,6.605,1.355,7.905,2.285,7.975,-1.605,-0.855,6.495,-2.105,-0.115,4.495,0.005,3.735,6.255
179.65,169.23,169.44,172.85,165.43,173.85,169.86,170.31,171.66,167.58,172.01,165.98,166.51,169.08,169.41,164.84,173.63,172.16,168.25,170.81,169.83,171.31,167.92,167.39,,Peptide432,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,12.485,2.065,2.275,5.685,-1.735,6.685,2.695,3.145,4.495,0.415,4.845,-1.185,-0.655,1.915,2.245,-2.325,6.465,4.995,1.085,3.645,2.665,4.145,0.755,0.225
210.45,177.87,189.63,176.92,183.86,172.85,177.26,170.89,181.17,181.49,174.13,167.11,170.3,169.88,171.97,166.33,168.92,167.64,170.39,169.34,169.68,173.1,165.66,164.41,,Peptide432,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,43.285,10.705,22.465,9.755,16.695,5.685,10.095,3.725,14.005,14.325,6.965,-0.055,3.135,2.715,4.805,-0.835,1.755,0.475,3.225,2.175,2.515,5.935,-1.505,-2.755
187.59,177.36,175.93,170.46,179.14,176.19,172.83,169.41,169.17,163.84,164.43,170.11,180.22,167.07,170.29,170.87,174.83,168.99,169.28,163.39,176.09,170.11,172.42,165.81,,Peptide432,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,20.425,10.195,8.765,3.295,11.975,9.025,5.665,2.245,2.005,-3.325,-2.735,2.945,13.055,-0.095,3.125,3.705,7.665,1.825,2.115,-3.775,8.925,2.945,5.255,-1.355
171.51,263.04,176.93,236.24,169.54,210.89,173.79,185.31,175.72,185.34,170.66,171.19,168.77,169.2,169.12,170.99,169.18,166.54,173.04,173.26,176.47,166.7,171.04,166.62,,Peptide432,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.345,95.875,9.765,69.075,2.375,43.725,6.625,18.145,8.555,18.175,3.495,4.025,1.605,2.035,1.955,3.825,2.015,-0.625,5.875,6.095,9.305,-0.465,3.875,-0.545
