21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189.04,181.42,195.03,170.14,176.83,166.28,178.8,161.35,173.77,175.31,170.13,169.25,169.48,167.75,168.76,169.63,173.96,164.84,173.11,173.41,167.95,179.69,182.36,172.22,,Peptide444,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,PIK3R1-N,GRB10,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,166.455,22.585,14.965,28.575,3.685,10.375,-0.175,12.345,-5.105,7.315,8.855,3.675,2.795,3.025,1.295,2.305,3.175,7.505,-1.615,6.655,6.955,1.495,13.235,15.905,5.765
184.05,172.24,172.16,164.99,173.95,172.54,171.83,176.94,176.49,164.3,166.68,171.44,177.48,129.17,175.31,167.02,167.54,168.01,173.15,171.24,173.76,178.64,169.7,178.62,,Peptide444,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,ABL1,BRDG1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,17.595,5.785,5.705,-1.465,7.495,6.085,5.375,10.485,10.035,-2.155,0.225,4.985,11.025,-37.285,8.855,0.565,1.085,1.555,6.695,4.785,7.305,12.185,3.245,12.165
196.72,176.87,183.03,179.31,181.89,174.27,160.2,169.97,162.48,169.88,168.76,166.79,173.32,169.77,170.02,174.11,171.04,161.04,168.46,167.35,175.8,167.87,168.75,162.85,,Peptide444,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,PIK3R1-C,CTEN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,30.265,10.415,16.575,12.855,15.435,7.815,-6.255,3.515,-3.975,3.425,2.305,0.335,6.865,3.315,3.565,7.655,4.585,-5.415,2.005,0.895,9.345,1.415,2.295,-3.605
193.2,175.43,181.87,176.57,179.36,172.83,175.18,178.03,171.39,175.84,171.44,173.5,176.85,167.16,172.59,172.93,174.57,172,169.69,172.43,169.81,171.98,170.32,168.09,,Peptide444,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,LYN,BTK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,26.745,8.975,15.415,10.115,12.905,6.375,8.725,11.575,4.935,9.385,4.985,7.045,10.395,0.705,6.135,6.475,8.115,5.545,3.235,5.975,3.355,5.525,3.865,1.635
174.34,189.58,168.47,176.89,170.49,173.79,171.95,172.45,171.57,172.32,166.61,168.44,173.23,163.29,167.93,165.13,177.35,172.75,166.55,169.16,169.73,168.22,170.91,172.38,,Peptide444,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,PLCG1-N,SH2B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7.885,23.125,2.015,10.435,4.035,7.335,5.495,5.995,5.115,5.865,0.155,1.985,6.775,-3.165,1.475,-1.325,10.895,6.295,0.095,2.705,3.275,1.765,4.455,5.925
232.62,179.3,213.74,178.76,206.34,176.31,194.13,181.31,190.95,169.15,179.76,169.42,168.81,167.99,182.53,174.11,173.63,173.24,172.48,167.95,174.3,177.94,167.43,162.03,,Peptide444,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,PLCG1-C,SOCS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,66.165,12.845,47.285,12.305,39.885,9.855,27.675,14.855,24.495,2.695,13.305,2.965,2.355,1.535,16.075,7.655,7.175,6.785,6.025,1.495,7.845,11.485,0.975,-4.425
186.36,172.14,178.24,171.98,174.11,174.47,165.97,170.97,171.1,174.18,168.03,170.93,171.03,173.42,171.92,170.59,174.53,169.58,172.61,165.73,176.97,169.99,164.15,165.35,,Peptide444,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,SYK-C,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,19.905,5.685,11.785,5.525,7.655,8.015,-0.485,4.515,4.645,7.725,1.575,4.475,4.575,6.965,5.465,4.135,8.075,3.125,6.155,-0.725,10.515,3.535,-2.305,-1.105
200.8,179.96,193.62,175.14,182.63,173.76,173.34,171.97,172.37,175.91,171.31,173.28,169.22,171.97,175.43,165.22,165.19,175.38,168.93,170.65,172.02,173.41,172.08,166.37,,Peptide444,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,PTPN11-N,CRKL,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,34.345,13.505,27.165,8.685,16.175,7.305,6.885,5.515,5.915,9.455,4.855,6.825,2.765,5.515,8.975,-1.235,-1.265,8.925,2.475,4.195,5.565,6.955,5.625,-0.085
192.88,180.74,183.66,172.7,162.74,168.57,176.78,176.13,170.5,169.97,169.76,177.85,171.49,168.65,165.85,165.68,176.64,170.5,162.87,163.61,174.7,164.49,172.24,171,,Peptide444,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,SHC1,VAV2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,26.425,14.285,17.205,6.245,-3.715,2.115,10.325,9.675,4.045,3.515,3.305,11.395,5.035,2.195,-0.605,-0.775,10.185,4.045,-3.585,-2.845,8.245,-1.965,5.785,4.545
186.3,192.64,181.13,177.78,172.29,175.88,172.11,175.91,171.04,171.12,173.41,174.03,171.38,165.27,165.13,166.76,174.24,170.84,167.69,171.39,175.91,167.59,168.19,167.86,,Peptide444,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,PTPN11-C,HSH2D,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,19.845,26.185,14.675,11.325,5.835,9.425,5.655,9.455,4.585,4.665,6.955,7.575,4.925,-1.185,-1.325,0.305,7.785,4.385,1.235,4.935,9.455,1.135,1.735,1.405
173.75,175.16,171.58,164.86,164.57,168.7,169.13,172.53,171.52,169.92,171.75,166.55,167.33,170.86,167.53,161.8,173.46,175.01,172.08,169.06,169.2,172.28,174.52,170.19,,Peptide444,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,PLCG2-N,BMX,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7.295,8.705,5.125,-1.595,-1.885,2.245,2.675,6.075,5.065,3.465,5.295,0.095,0.875,4.405,1.075,-4.655,7.005,8.555,5.625,2.605,2.745,5.825,8.065,3.735
177.21,186.7,174.43,180.05,171.29,176.16,167.26,170.75,174.61,175.58,175.6,167.73,169.35,171.29,171.31,173.49,166.5,169,168.74,168.97,170.83,164.66,174.97,159.5,,Peptide444,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,ZAP70-C,ABL2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,10.755,20.245,7.975,13.595,4.835,9.705,0.805,4.295,8.155,9.125,9.145,1.275,2.895,4.835,4.855,7.035,0.045,2.545,2.285,2.515,4.375,-1.795,8.515,-6.955
185.11,192.8,188.88,182.9,169.38,175.72,176.91,182.13,172.29,170.65,170.11,168.2,166.22,168.59,171.21,164.27,167.61,169.64,170.97,163.94,165.51,170.2,171.63,173.19,,Peptide444,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,HCK,PIK3R3-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,18.655,26.345,22.425,16.445,2.925,9.265,10.455,15.675,5.835,4.195,3.655,1.745,-0.235,2.135,4.755,-2.185,1.155,3.185,4.515,-2.515,-0.945,3.745,5.175,6.735
179.94,260.09,167.79,218.28,172.66,209.56,173.51,186.92,165.28,176.21,176.72,167.17,175.98,182.94,171.34,173.01,171.59,169.65,169.1,170.87,169.48,167.17,169.49,173.53,,Peptide444,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,VAV3,RASA1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,13.485,93.635,1.335,51.825,6.205,43.105,7.055,20.465,-1.175,9.755,10.265,0.715,9.525,16.485,4.885,6.555,5.135,3.195,2.645,4.415,3.025,0.715,3.035,7.075
184.57,178.5,171.71,174.7,163.77,175.33,165.37,169.81,171.79,164.79,165.66,161.53,175.67,175.73,167.3,170.62,168.87,171.45,167.18,167.09,168.08,171.9,174.65,168.97,,Peptide444,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,SUPT6H,TNS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,18.115,12.045,5.255,8.245,-2.685,8.875,-1.085,3.355,5.335,-1.665,-0.795,-4.925,9.215,9.275,0.845,4.165,2.415,4.995,0.725,0.635,1.625,5.445,8.195,2.515
197.29,169.01,187.39,189.77,179.62,164.05,187.58,175.3,175.68,180.17,190.41,176.09,175.3,172.44,181.15,179.85,174.56,169.86,174.72,188.66,185.7,187.7,181.6,178.94,,Peptide444,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,SH2D1A,ZAP70-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,30.835,2.555,20.935,23.315,13.165,-2.405,21.125,8.845,9.225,13.715,23.955,9.635,8.845,5.985,14.695,13.395,8.105,3.405,8.265,22.205,19.245,21.245,15.145,12.485
173.39,182.15,165.23,172.12,166.33,167.26,173.51,174.18,162.25,165.57,167.63,171,163.48,167.26,165.04,167.91,168.06,165.09,166.36,170.6,166.55,176.17,167.74,,,Peptide444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
