12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201.63,180.79,192.58,174.38,178.61,174.37,181.62,180.8,183.08,178.17,181.69,174.68,184.3,176.37,182.44,182.42,183.33,184.8,185.39,182.19,183.81,186.47,190.46,181.89,,Peptide432,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,178.995,22.635,1.795,13.585,-4.615,-0.385,-4.625,2.625,1.805,4.085,-0.825,2.695,-4.315,5.305,-2.625,3.445,3.425,4.335,5.805,6.395,3.195,4.815,7.475,11.465,2.895
195.24,164.15,177.42,195.33,189.08,184.36,184.14,185.04,175.17,181.23,183.37,175.99,184.58,180.04,183.55,182.06,180.9,184.57,180.62,185.13,186.4,182.98,183.49,188.24,,Peptide432,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,16.245,-14.845,-1.575,16.335,10.085,5.365,5.145,6.045,-3.825,2.235,4.375,-3.005,5.585,1.045,4.555,3.065,1.905,5.575,1.625,6.135,7.405,3.985,4.495,9.245
191.13,173.77,179.73,174.66,177.89,175.17,174.2,177.76,176.3,179.19,182.39,171.66,179.52,176.6,178.09,174.08,183.78,184.47,185.05,174.87,183.62,185.52,177.04,181.03,,Peptide432,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,12.135,-5.225,0.735,-4.335,-1.105,-3.825,-4.795,-1.235,-2.695,0.195,3.395,-7.335,0.525,-2.395,-0.905,-4.915,4.785,5.475,6.055,-4.125,4.625,6.525,-1.955,2.035
198,178.1,180.68,183.46,179.62,178.83,186.69,181.11,177.71,181.81,173.97,182.57,176.49,175.71,181.4,175.74,178.93,179.16,178.9,177.89,180.9,179.22,185.12,175.94,,Peptide432,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,19.005,-0.895,1.685,4.465,0.625,-0.165,7.695,2.115,-1.285,2.815,-5.025,3.575,-2.505,-3.285,2.405,-3.255,-0.065,0.165,-0.095,-1.105,1.905,0.225,6.125,-3.055
182.53,178.39,178.84,186.3,175.19,177.13,177.76,170.65,180.42,177.15,175.06,175.22,179.92,176.42,181.84,179.72,180.83,177.06,179.18,184.92,181.33,178.04,187.2,185.99,,Peptide432,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3.535,-0.605,-0.155,7.305,-3.805,-1.865,-1.235,-8.345,1.425,-1.845,-3.935,-3.775,0.925,-2.575,2.845,0.725,1.835,-1.935,0.185,5.925,2.335,-0.955,8.205,6.995
191.12,234.46,186.89,219.44,174.96,189.58,177.74,196.92,186.62,180.98,177.76,180.87,179.25,177.23,180.11,174.69,180.46,182.12,176.4,175.93,179.3,178.03,179.83,179.42,,Peptide432,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,12.125,55.465,7.895,40.445,-4.035,10.585,-1.255,17.925,7.625,1.985,-1.235,1.875,0.255,-1.765,1.115,-4.305,1.465,3.125,-2.595,-3.065,0.305,-0.965,0.835,0.425
213.72,184.35,200.42,179.11,185.09,180.4,185.98,178.55,184.35,174.23,176.7,174.77,179.98,179.4,175.08,177.65,181.36,179.55,180.86,169.87,182.15,178.49,179.27,179.71,,Peptide432,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,34.725,5.355,21.425,0.115,6.095,1.405,6.985,-0.445,5.355,-4.765,-2.295,-4.225,0.985,0.405,-3.915,-1.345,2.365,0.555,1.865,-9.125,3.155,-0.505,0.275,0.715
173.85,180.47,182.99,187.46,157.19,172.51,184.77,184.1,180.3,176.92,182.5,177.4,179.41,175.1,180.73,180.94,179.31,182.85,184.15,175.12,181.7,178.46,181.09,180.38,,Peptide432,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-5.145,1.475,3.995,8.465,-21.805,-6.485,5.775,5.105,1.305,-2.075,3.505,-1.595,0.415,-3.895,1.735,1.945,0.315,3.855,5.155,-3.875,2.705,-0.535,2.095,1.385
181.25,206.1,155.11,156.25,183.25,187.47,181.34,185.11,179.85,180.32,177.04,151.66,182.96,177.14,173.85,171.98,178.22,178.24,177.19,180.48,177.58,179.4,181.45,186.56,,Peptide432,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2.255,27.105,-23.885,-22.745,4.255,8.475,2.345,6.115,0.855,1.325,-1.955,-27.335,3.965,-1.855,-5.145,-7.015,-0.775,-0.755,-1.805,1.485,-1.415,0.405,2.455,7.565
165.26,155.32,150.72,181.05,181.75,179.89,180.49,169.44,184.99,177.43,152.07,180.75,173.57,182.91,181.16,177.96,182.33,180.67,186.47,174.03,176.49,176.36,178.44,186.51,,Peptide432,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-13.735,-23.675,-28.275,2.055,2.755,0.895,1.495,-9.555,5.995,-1.565,-26.925,1.755,-5.425,3.915,2.165,-1.035,3.335,1.675,7.475,-4.965,-2.505,-2.635,-0.555,7.515
