18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.38,191.54,192.91,182.44,185.84,190.07,193.44,175.31,178.96,186.13,179.53,182.33,186.38,168.07,188.28,180.28,192.89,182.57,185.56,184.89,187.73,195.62,189.09,232.28,,Peptide444,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,182.4,37.98,9.14,10.51,0.04,3.44,7.67,11.04,-7.09,-3.44,3.73,-2.87,-0.07,3.98,-14.33,5.88,-2.12,10.49,0.17,3.16,2.49,5.33,13.22,6.69,49.88
184.5,172.8,167.37,174.23,184.94,192.35,179.03,187.93,181.16,187.24,181.8,187.65,184.37,176.95,183.16,183.81,184.27,184.76,176.73,176.09,192.02,181.69,186.81,188.68,,Peptide444,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2.1,-9.6,-15.03,-8.17,2.54,9.95,-3.37,5.53,-1.24,4.84,-0.6,5.25,1.97,-5.45,0.76,1.41,1.87,2.36,-5.67,-6.31,9.62,-0.71,4.41,6.28
218.95,170.6,193.37,184.09,187.21,180.27,182.31,182.84,183.13,179.37,184.85,178.35,185.65,172.7,187.6,179.72,191.31,181.03,177.54,174.23,177.35,180.29,185.27,181.53,,Peptide444,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,36.55,-11.8,10.97,1.69,4.81,-2.13,-0.09,0.44,0.73,-3.03,2.45,-4.05,3.25,-9.7,5.2,-2.68,8.91,-1.37,-4.86,-8.17,-5.05,-2.11,2.87,-0.87
187.11,177.94,181.61,184.87,179.45,180.67,182.95,182.7,184.01,182.65,185.74,180.48,180.37,175.56,182.37,185.17,184.83,183.02,184.02,185.82,182.09,180.65,173.44,182.15,,Peptide444,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.71,-4.46,-0.79,2.47,-2.95,-1.73,0.55,0.3,1.61,0.25,3.34,-1.92,-2.03,-6.84,-0.03,2.77,2.43,0.62,1.62,3.42,-0.31,-1.75,-8.96,-0.25
200.03,185.58,190.08,182.64,181.8,178.82,163.62,172.95,184.11,180.31,181.23,181.57,177.5,181.76,185.1,178.39,185.48,178,180.31,175.99,186.42,179.12,175.12,180.93,,Peptide444,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,17.63,3.18,7.68,0.24,-0.6,-3.58,-18.78,-9.45,1.71,-2.09,-1.17,-0.83,-4.9,-0.64,2.7,-4.01,3.08,-4.4,-2.09,-6.41,4.02,-3.28,-7.28,-1.47
188.32,180.97,184.47,186.16,177.47,179.39,179.65,182.26,186.05,180.98,185.58,187.7,182.95,181.59,179.18,171.88,178.21,181.78,177.15,181.68,182.43,183.23,178.52,185.4,,Peptide444,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.92,-1.43,2.07,3.76,-4.93,-3.01,-2.75,-0.14,3.65,-1.42,3.18,5.3,0.55,-0.81,-3.22,-10.52,-4.19,-0.62,-5.25,-0.72,0.03,0.83,-3.88,3
241.78,182.77,221.54,178.39,203.96,181.03,199.33,180.61,194.47,178.92,189.38,183.14,180.19,179.24,181.38,178.85,185.75,175.22,174.57,176.67,180.33,177.76,184.58,179,,Peptide444,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,59.38,0.37,39.14,-4.01,21.56,-1.37,16.93,-1.79,12.07,-3.48,6.98,0.74,-2.21,-3.16,-1.02,-3.55,3.35,-7.18,-7.83,-5.73,-2.07,-4.64,2.18,-3.4
181.86,182.15,181.78,186.21,174.44,178.57,186.4,178.48,176.69,182.01,182.46,178.63,175.95,180.79,179.03,183.75,180.89,169.52,178.84,183.08,180.09,181.36,181.3,180.57,,Peptide444,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,SYK-C,TNS,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-0.54,-0.25,-0.62,3.81,-7.96,-3.83,4,-3.92,-5.71,-0.39,0.06,-3.77,-6.45,-1.61,-3.37,1.35,-1.51,-12.88,-3.56,0.68,-2.31,-1.04,-1.1,-1.83
189.94,224.32,167.36,176.32,187.6,195.34,183.62,185.27,177.22,184.77,182.44,179.78,184.65,178.85,180.44,185.48,184.1,177.48,181.64,175.64,180.58,182.01,180.26,179.73,,Peptide444,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,TENS1,PIK3R1-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7.54,41.92,-15.04,-6.08,5.2,12.94,1.22,2.87,-5.18,2.37,0.04,-2.62,2.25,-3.55,-1.96,3.08,1.7,-4.92,-0.76,-6.76,-1.82,-0.39,-2.14,-2.67
175.78,171.65,174.56,174.25,178,179.02,182.87,184.17,179.28,181.03,180.46,183.23,178.49,177.95,177.65,179.98,181.97,181.13,180.61,175.7,175.5,185.39,184.57,185.49,,Peptide444,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-6.62,-10.75,-7.84,-8.15,-4.4,-3.38,0.47,1.77,-3.12,-1.37,-1.94,0.83,-3.91,-4.45,-4.75,-2.42,-0.43,-1.27,-1.79,-6.7,-6.9,2.99,2.17,3.09
