21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207.72,163.69,196.61,183.82,193.74,179.74,184.78,184.69,180.6,166.34,192.27,179.64,192.19,190.87,181.31,178.2,196.88,192.99,193.47,195.54,191.85,194.74,192.88,196.86,,Peptide432,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,184.255,23.465,-20.565,12.355,-0.435,9.485,-4.515,0.525,0.435,-3.655,-17.915,8.015,-4.615,7.935,6.615,-2.945,-6.055,12.625,8.735,9.215,11.285,7.595,10.485,8.625,12.605
204.16,187.94,195.18,187.86,183.11,184.15,182.04,178.72,182.2,190.61,176.17,182.54,184.11,183.63,168.39,173.57,188.51,183.98,194.54,187.42,186.82,189.26,195.04,189.6,,Peptide432,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,19.905,3.685,10.925,3.605,-1.145,-0.105,-2.215,-5.535,-2.055,6.355,-8.085,-1.715,-0.145,-0.625,-15.865,-10.685,4.255,-0.275,10.285,3.165,2.565,5.005,10.785,5.345
190.43,202.79,186.88,188.83,181.76,183.26,181.94,182.6,180.29,180.99,177.29,190.05,181.73,180.67,187.42,190.63,187.32,198.37,185.77,189.86,184.35,184.27,184.91,187.64,,Peptide432,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,18.535,2.625,4.575,-2.495,-0.995,-2.315,-1.655,-3.965,-3.265,-6.965,5.795,-2.525,-3.585,3.165,6.375,3.065,14.115,1.515,5.605,0.095,0.015,0.655,3.385
187.74,184.86,182.47,178.93,184.95,183.07,178.46,186.5,179.75,185.32,187.85,182.95,188.66,187.93,184.05,181.61,182.83,188.8,179.95,190.34,182.16,188.59,183.95,185.67,,Peptide432,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3.485,0.605,-1.785,-5.325,0.695,-1.185,-5.795,2.245,-4.505,1.065,3.595,-1.305,4.405,3.675,-0.205,-2.645,-1.425,4.545,-4.305,6.085,-2.095,4.335,-0.305,1.415
193.07,231.91,184.25,222.13,176.79,214.55,179.96,203.42,185.46,193.12,184.18,184.78,186.66,189.41,180.92,182.06,187.36,184.88,180.75,186.48,191.65,183.98,183.85,178.46,,Peptide432,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,8.815,47.655,-0.005,37.875,-7.465,30.295,-4.295,19.165,1.205,8.865,-0.075,0.525,2.405,5.155,-3.335,-2.195,3.105,0.625,-3.505,2.225,7.395,-0.275,-0.405,-5.795
243.66,232.61,226.88,204.57,211.74,209.75,209.91,190.2,198.93,184.81,188.42,184.1,186.06,189.3,182.15,184.86,185.89,188.55,185.02,185.7,180.64,183.47,188.08,180.87,,Peptide432,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,59.405,48.355,42.625,20.315,27.485,25.495,25.655,5.945,14.675,0.555,4.165,-0.155,1.805,5.045,-2.105,0.605,1.635,4.295,0.765,1.445,-3.615,-0.785,3.825,-3.385
199.9,214.81,178.9,210.62,177.94,200.74,187.22,186.98,185.23,193.53,183.51,179.25,188.1,187,188.78,188.68,184.44,193.36,188.22,177.66,188.61,179.21,191.21,185.51,,Peptide432,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,15.645,30.555,-5.355,26.365,-6.315,16.485,2.965,2.725,0.975,9.275,-0.745,-5.005,3.845,2.745,4.525,4.425,0.185,9.105,3.965,-6.595,4.355,-5.045,6.955,1.255
196.48,210.37,188.39,208.16,179.41,201.88,185.21,197.81,173.73,189.63,185.15,184.28,187.13,185.18,179.73,183.88,181.9,184.06,185.31,181.94,186.19,194.84,184.6,178.98,,Peptide432,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,12.225,26.115,4.135,23.905,-4.845,17.625,0.955,13.555,-10.525,5.375,0.895,0.025,2.875,0.925,-4.525,-0.375,-2.355,-0.195,1.055,-2.315,1.935,10.585,0.345,-5.275
223.08,197.82,198.8,187.77,186.89,185.59,186.13,191.27,185.38,182.62,184.01,176.34,177.85,177.26,179.41,177.29,183.92,178.57,190.95,174.95,189.24,184.25,186.84,182.86,,Peptide432,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,38.825,13.565,14.545,3.515,2.635,1.335,1.875,7.015,1.125,-1.635,-0.245,-7.915,-6.405,-6.995,-4.845,-6.965,-0.335,-5.685,6.695,-9.305,4.985,-0.005,2.585,-1.395
190.78,186.2,185.96,179.4,180.73,188.24,182.42,177.59,182.17,187.59,170.62,179.07,182.63,177.44,182.68,181.54,178.62,187.16,186.06,189.19,183.49,186.5,177.9,180.86,,Peptide432,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,6.525,1.945,1.705,-4.855,-3.525,3.985,-1.835,-6.665,-2.085,3.335,-13.635,-5.185,-1.625,-6.815,-1.575,-2.715,-5.635,2.905,1.805,4.935,-0.765,2.245,-6.355,-3.395
192.71,179.34,187.76,178.71,172.9,178.22,184.31,191.55,179.91,177.71,180.1,177.17,184.94,188.51,180.92,183.5,185.78,183.72,187.12,178.28,187.24,178.64,193.91,180.05,,Peptide432,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,8.455,-4.915,3.505,-5.545,-11.355,-6.035,0.055,7.295,-4.345,-6.545,-4.155,-7.085,0.685,4.255,-3.335,-0.755,1.525,-0.535,2.865,-5.975,2.985,-5.615,9.655,-4.205
189.13,188.49,190.42,190.82,179.46,184.57,188.69,181.22,181.73,183.51,190.07,189.62,179.51,185.7,182.16,183.43,185.95,182.94,178.05,183.67,178.7,179.66,180.31,163.3,,Peptide432,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.875,4.235,6.165,6.565,-4.795,0.315,4.435,-3.035,-2.525,-0.745,5.815,5.365,-4.745,1.445,-2.095,-0.825,1.695,-1.315,-6.205,-0.585,-5.555,-4.595,-3.945,-20.955
189.43,180.94,187.43,175.03,182.25,186.2,181.22,178.63,181.51,185.83,184.92,177.62,183.36,179.97,189.24,184.76,187.48,186.86,178.85,182.26,187.88,181.62,190.13,176.12,,Peptide432,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,5.175,-3.315,3.175,-9.225,-2.005,1.945,-3.035,-5.625,-2.745,1.575,0.665,-6.635,-0.895,-4.285,4.985,0.505,3.225,2.605,-5.405,-1.995,3.625,-2.635,5.875,-8.135
208.72,195.78,194.57,188.77,192.25,186.99,182.93,185.72,181.54,174.7,186.48,184.85,179.67,183.25,181.4,179.63,176.24,176.69,181.13,179.13,185.04,181.58,191.14,180.36,,Peptide432,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,24.465,11.525,10.315,4.515,7.995,2.735,-1.325,1.465,-2.715,-9.555,2.225,0.595,-4.585,-1.005,-2.855,-4.625,-8.015,-7.565,-3.125,-5.125,0.785,-2.675,6.885,-3.895
183.06,178.65,183.17,176.4,179.82,184.25,190.62,193.45,184.77,175.89,185.46,178.05,186.49,184.32,182.4,181.64,184.33,187.15,183.23,181.9,189.4,188.27,185.73,189.86,,Peptide432,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1.195,-5.605,-1.085,-7.855,-4.435,-0.005,6.365,9.195,0.515,-8.365,1.205,-6.205,2.235,0.065,-1.855,-2.615,0.075,2.895,-1.025,-2.355,5.145,4.015,1.475,5.605
194.59,197.16,192.95,189.9,184.97,183.86,198.36,189.98,191.64,193.63,198.1,194.26,197.91,191.81,189.14,186.82,189.22,190.46,194.87,189.64,199.61,190.28,190.94,182.43,,Peptide432,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,10.335,12.905,8.695,5.645,0.715,-0.395,14.105,5.725,7.385,9.375,13.845,10.005,13.655,7.555,4.885,2.565,4.965,6.205,10.615,5.385,15.355,6.025,6.685,-1.825
163.69,196.61,183.82,193.74,179.74,184.78,184.69,180.6,166.34,192.27,179.64,192.19,190.87,181.31,178.2,196.88,192.99,193.47,195.54,191.85,194.74,192.88,196.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301.82,175.11,282.98,180.16,278.65,170.77,275.96,172.97,268.71,172.53,258.42,169.84,227.53,172.57,199.12,171.85,203.86,180.18,194.98,189.33,194.18,178.39,182.73,196.3,,Peptide433,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,174.04,127.78,1.07,108.94,6.12,104.61,-3.27,101.92,-1.07,94.67,-1.51,84.38,-4.2,53.49,-1.47,25.08,-2.19,29.82,6.14,20.94,15.29,20.14,4.35,8.69,22.26
211.64,175.04,185.54,176.66,180.74,176.39,171.28,178.37,176.48,170.11,170.61,171.77,181.64,174.67,177.16,174.21,179.71,179.81,170.56,170.72,173.52,180.41,177.38,177.52,,Peptide433,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,TEC,TENS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,37.6,1,11.5,2.62,6.7,2.35,-2.76,4.33,2.44,-3.93,-3.43,-2.27,7.6,0.63,3.12,0.17,5.67,5.77,-3.48,-3.32,-0.52,6.37,3.34,3.48
226.66,214.93,222.53,204.12,214.73,190.74,217.9,177.84,224.84,173.64,210.14,174.58,209.55,173.45,206.67,168.34,191.42,172.69,191.59,183.44,179.06,172.42,174.5,185.48,,Peptide433,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,52.62,40.89,48.49,30.08,40.69,16.7,43.86,3.8,50.8,-0.4,36.1,0.54,35.51,-0.59,32.63,-5.7,17.38,-1.35,17.55,9.4,5.02,-1.62,0.46,11.44
183.5,257.22,179.1,236.99,181.37,238.41,170.65,226.58,176.66,206.28,175.01,196.15,177.6,190.62,179.57,188.89,177.24,184.46,179.98,175.64,178.78,180.9,172.51,182.79,,Peptide433,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,9.46,83.18,5.06,62.95,7.33,64.37,-3.39,52.54,2.62,32.24,0.97,22.11,3.56,16.58,5.53,14.85,3.2,10.42,5.94,1.6,4.74,6.86,-1.53,8.75
178.98,178.41,175.98,164.86,172.89,171.89,168.54,174.02,170.8,164.51,171.36,170.01,179.86,169.91,165.17,162.21,175.98,161.18,172.38,170.07,173.07,167.15,169.24,177.6,,Peptide433,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,4.94,4.37,1.94,-9.18,-1.15,-2.15,-5.5,-0.02,-3.24,-9.53,-2.68,-4.03,5.82,-4.13,-8.87,-11.83,1.94,-12.86,-1.66,-3.97,-0.97,-6.89,-4.8,3.56
256.81,230.75,238.57,217.69,226.44,196.94,215.17,185.83,189.25,182.2,182.62,177.5,187.34,177.27,162.17,172.87,169.24,174.39,174.12,172.94,178.99,171.62,169.86,175.46,,Peptide433,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,82.77,56.71,64.53,43.65,52.4,22.9,41.13,11.79,15.21,8.16,8.58,3.46,13.3,3.23,-11.87,-1.17,-4.8,0.35,0.08,-1.1,4.95,-2.42,-4.18,1.42
198.43,167.02,177.24,161.14,172.96,178.63,176.96,168.71,165.48,165.12,177.41,171.94,175.4,174.46,185.16,171.19,171.54,174.66,173.71,174.94,165.63,169.26,173.19,172.36,,Peptide433,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,24.39,-7.02,3.2,-12.9,-1.08,4.59,2.92,-5.33,-8.56,-8.92,3.37,-2.1,1.36,0.42,11.12,-2.85,-2.5,0.62,-0.33,0.9,-8.41,-4.78,-0.85,-1.68
185.88,237.95,179.93,219.47,168.53,205.22,169.44,195.47,178.04,191.04,180.25,179.6,171.1,174.42,173.72,177.25,166.44,166.83,172.3,174.01,171,171.77,178.89,175.13,,Peptide433,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,TNS,PLCG1-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,11.84,63.91,5.89,45.43,-5.51,31.18,-4.6,21.43,4,17,6.21,5.56,-2.94,0.38,-0.32,3.21,-7.6,-7.21,-1.74,-0.03,-3.04,-2.27,4.85,1.09
