37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,4.5,4.5,2.25,2.25,1.125,1.125,0.5625,0.5625,0.28125,0.28125,0.140625,0.140625,0.0703125,0.0703125,0.03515625,0.03515625,0.017578125,0.017578125,0.008789063,0.008789063,0.004394531,0.004394531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225.84,297.1,217.67,290.11,200.72,287.78,203.21,286.05,198.9,280.38,193.76,266.69,185.9,255.27,195.26,248.58,189.06,227.17,200.24,217.99,197.09,204.85,189.36,193.51,,Peptide450,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,189.405,36.435,107.695,28.265,100.705,11.315,98.375,13.805,96.645,9.495,90.975,4.355,77.285,-3.505,65.865,5.855,59.175,-0.345,37.765,10.835,28.585,7.685,15.445,-0.045,4.105
196.93,226.85,178.55,202.32,185.66,194.29,193.35,185.68,181.21,193.18,187.21,192.29,188.49,184.57,195.19,190.59,191.3,190.46,195.61,190.07,196.47,199.4,181.68,188.05,,Peptide450,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,7.525,37.445,-10.855,12.915,-3.745,4.885,3.945,-3.725,-8.195,3.775,-2.195,2.885,-0.915,-4.835,5.785,1.185,1.895,1.055,6.205,0.665,7.065,9.995,-7.725,-1.355
274.68,228.72,254.04,171.39,230.76,197.7,217.76,195.31,204.91,198.65,196.28,194.29,188.41,191.52,204.6,187.14,197.96,188.88,195.53,196.56,191.88,193.12,185.2,187.03,,Peptide450,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,85.275,39.315,64.635,-18.015,41.355,8.295,28.355,5.905,15.505,9.245,6.875,4.885,-0.995,2.115,15.195,-2.265,8.555,-0.525,6.125,7.155,2.475,3.715,-4.205,-2.375
207.38,291.58,192.38,291.3,196.62,276.39,189.07,285.71,189.14,262.62,183.84,250.76,186.31,243.11,194.33,223.7,196.5,215.28,184.58,206.34,183.45,190.61,176.44,200.54,,Peptide450,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,17.975,102.175,2.975,101.895,7.215,86.985,-0.335,96.305,-0.265,73.215,-5.565,61.355,-3.095,53.705,4.925,34.295,7.095,25.875,-4.825,16.935,-5.955,1.205,-12.965,11.135
247.01,305.82,220.12,267.77,197.23,235.09,195.91,218.88,202.86,203.83,198.73,193.58,191.64,191.34,175.41,191.46,179.71,191.35,197.18,179.68,199.36,199.64,189.55,189.45,,Peptide450,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,57.605,116.415,30.715,78.365,7.825,45.685,6.505,29.475,13.455,14.425,9.325,4.175,2.235,1.935,-13.995,2.055,-9.695,1.945,7.775,-9.725,9.955,10.235,0.145,0.045
231.78,202.62,221.9,200.09,204.08,191.75,193.03,190.9,199.9,193.99,191.88,195.98,195.22,194.7,186.73,188.78,185.2,197.58,192.01,179.47,193.84,181.09,191.81,181.16,,Peptide450,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,42.375,13.215,32.495,10.685,14.675,2.345,3.625,1.495,10.495,4.585,2.475,6.575,5.815,5.295,-2.675,-0.625,-4.205,8.175,2.605,-9.935,4.435,-8.315,2.405,-8.245
266.78,284.44,242.77,268.48,234.67,268.91,216.51,251.89,211.79,241.07,196.12,234.38,200.1,194.29,197.11,212.36,195.52,199.46,199.5,188.02,180.63,186.71,188.28,192.2,,Peptide450,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,77.375,95.035,53.365,79.075,45.265,79.505,27.105,62.485,22.385,51.665,6.715,44.975,10.695,4.885,7.705,22.955,6.115,10.055,10.095,-1.385,-8.775,-2.695,-1.125,2.795
211.47,191.23,199.42,188.98,197.99,194.22,187.37,187.85,189.64,192.74,196.1,186.36,189.28,185.48,186.84,199.63,197.36,196.81,194.16,183.59,190.81,177.15,197.42,189.16,,Peptide450,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,22.065,1.825,10.015,-0.425,8.585,4.815,-2.035,-1.555,0.235,3.335,6.695,-3.045,-0.125,-3.925,-2.565,10.225,7.955,7.405,4.755,-5.815,1.405,-12.255,8.015,-0.245
213.04,256.36,202.24,260.9,198.41,246.92,196.72,250.3,196.21,245.98,186.34,227.05,200.76,221.05,187.7,173.07,192.47,206.47,193.07,189.01,191.87,198.51,184.53,183.19,,Peptide450,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,23.635,66.955,12.835,71.495,9.005,57.515,7.315,60.895,6.805,56.575,-3.065,37.645,11.355,31.645,-1.705,-16.335,3.065,17.065,3.665,-0.395,2.465,9.105,-4.875,-6.215
329.02,279.71,270.58,255.9,229.25,239.86,214.54,220.63,215.31,213.13,186.56,208.55,189.94,192.47,167.59,178.84,191.75,199.95,191.74,197.78,192.83,198.17,193.74,196.43,,Peptide450,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,139.615,90.305,81.175,66.495,39.845,50.455,25.135,31.225,25.905,23.725,-2.845,19.145,0.535,3.065,-21.815,-10.565,2.345,10.545,2.335,8.375,3.425,8.765,4.335,7.025
212.03,213.5,211.1,193.3,195.74,195.83,201.85,193.01,192.02,190.91,195.74,186.82,190.64,193.69,181.16,171.75,192.82,194.07,188.26,200.67,195.01,194.63,188.23,190.99,,Peptide450,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,22.625,24.095,21.695,3.895,6.335,6.425,12.445,3.605,2.615,1.505,6.335,-2.585,1.235,4.285,-8.245,-17.655,3.415,4.665,-1.145,11.265,5.605,5.225,-1.175,1.585
245.17,195.83,221.68,188.46,209.19,197.39,191.13,185.93,201.22,184.36,198.03,194.57,195.92,189.82,187.24,190.38,196.98,187.71,194.14,191.74,183.1,192.49,188.48,178.55,,Peptide450,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,CTEN,PTPN6-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,55.765,6.425,32.275,-0.945,19.785,7.985,1.725,-3.475,11.815,-5.045,8.625,5.165,6.515,0.415,-2.165,0.975,7.575,-1.695,4.735,2.335,-6.305,3.085,-0.925,-10.855
203.48,374.54,188.66,335.99,197.71,301.85,191.07,265.8,191.42,225.48,194.32,214.09,197.54,205.56,184.11,188.23,192.3,187.84,196.36,183.23,194.57,183.18,187.78,193.05,,Peptide450,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,14.075,185.135,-0.745,146.585,8.305,112.445,1.665,76.395,2.015,36.075,4.915,24.685,8.135,16.155,-5.295,-1.175,2.895,-1.565,6.955,-6.175,5.165,-6.225,-1.625,3.645
208.98,216.09,189.24,206.47,192.87,196.41,194.27,202.61,180.78,184.22,193.73,183.25,182.53,197.15,189.84,185.69,180.79,184.79,185.83,188.3,196.62,186.55,194.39,189.14,,Peptide450,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,19.575,26.685,-0.165,17.065,3.465,7.005,4.865,13.205,-8.625,-5.185,4.325,-6.155,-6.875,7.745,0.435,-3.715,-8.615,-4.615,-3.575,-1.105,7.215,-2.855,4.985,-0.265
