22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,4.5,4.5,2.25,2.25,1.125,1.125,0.5625,0.5625,0.28125,0.28125,0.140625,0.140625,0.0703125,0.0703125,0.03515625,0.03515625,0.017578125,0.017578125,0.008789063,0.008789063,0.004394531,0.004394531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.16,234.47,165.16,219.8,164.74,208.01,160.47,202.81,158.53,198.49,161.67,184.99,160.07,186.78,162.18,183.58,164.65,178.76,166.1,172.3,168.88,179.82,178.05,159.78,,Peptide433,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,160.59,16.57,73.88,4.57,59.21,4.15,47.42,-0.12,42.22,-2.06,37.9,1.08,24.4,-0.52,26.19,1.59,22.99,4.06,18.17,5.51,11.71,8.29,19.23,17.46,-0.81
163.2,174.36,158.03,167.52,155.58,164.36,155.01,159.66,157.06,156.51,159.92,151.71,157.79,163.08,165.74,154.7,157.6,156.41,166.33,163.28,160.93,164.65,156.62,158.54,,Peptide433,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2.61,13.77,-2.56,6.93,-5.01,3.77,-5.58,-0.93,-3.53,-4.08,-0.67,-8.88,-2.8,2.49,5.15,-5.89,-2.99,-4.18,5.74,2.69,0.34,4.06,-3.97,-2.05
191.88,174.73,165,158.13,167.17,161.59,165.13,162.53,160.66,153.63,164.43,161.89,159.27,158.97,159.9,161.63,160.36,160.6,157.26,169.3,163.4,167.31,166.6,160.07,,Peptide433,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,31.29,14.14,4.41,-2.46,6.58,1,4.54,1.94,0.07,-6.96,3.84,1.3,-1.32,-1.62,-0.69,1.04,-0.23,0.01,-3.33,8.71,2.81,6.72,6.01,-0.52
156.3,246.66,162.93,218.28,163.62,207.89,157.38,193.7,168.85,187.85,159.13,187.28,163.89,189.4,156.34,179.69,162.32,171.81,161.02,174.44,162.63,169.87,159.32,164.05,,Peptide433,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-4.29,86.07,2.34,57.69,3.03,47.3,-3.21,33.11,8.26,27.26,-1.46,26.69,3.3,28.81,-4.25,19.1,1.73,11.22,0.43,13.85,2.04,9.28,-1.27,3.46
172.78,198.79,164.41,182.84,150.59,167.87,167.32,167.22,162.35,170.41,166.82,157.6,159.29,161.88,158.39,158.58,153.47,164.51,167.8,160.6,166.25,157.48,161.75,161.52,,Peptide433,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,INPPLN1,RASA1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,12.19,38.2,3.82,22.25,-10,7.28,6.73,6.63,1.76,9.82,6.23,-2.99,-1.3,1.29,-2.2,-2.01,-7.12,3.92,7.21,0.01,5.66,-3.11,1.16,0.93
175.69,174.46,166.83,158.2,161.5,162.15,155.4,157.04,170.94,154.46,153.31,165.32,157.29,161.86,161.91,153.59,155.83,161.8,157.38,163.89,161.89,156.58,163.79,159.14,,Peptide433,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,15.1,13.87,6.24,-2.39,0.91,1.56,-5.19,-3.55,10.35,-6.13,-7.28,4.73,-3.3,1.27,1.32,-7,-4.76,1.21,-3.21,3.3,1.3,-4.01,3.2,-1.45
181.4,258.07,163.17,234.07,171.57,219.89,162.59,211.74,160.57,192.47,162.41,197.93,164.68,183.31,161.16,177.18,158.53,170.27,162.66,162.48,167.9,164.85,159.49,165.02,,Peptide433,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,20.81,97.48,2.58,73.48,10.98,59.3,2,51.15,-0.02,31.88,1.82,37.34,4.09,22.72,0.57,16.59,-2.06,9.68,2.07,1.89,7.31,4.26,-1.1,4.43
171.44,168.26,160.76,151.72,161.55,167.53,169.57,162.14,158.78,172.05,167.12,156.75,155.81,162.56,163.85,152.65,160.69,159.84,154.63,153.06,162.53,161.31,161.11,154.22,,Peptide433,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,10.85,7.67,0.17,-8.87,0.96,6.94,8.98,1.55,-1.81,11.46,6.53,-3.84,-4.78,1.97,3.26,-7.94,0.1,-0.75,-5.96,-7.53,1.94,0.72,0.52,-6.37
170.47,262.8,164.5,239.78,154.62,220.08,163.87,221.28,163.01,213.57,150.73,198.03,161.35,193.07,161.02,183.55,156.29,181.13,161.61,166.13,157.33,165.78,155.59,158.02,,Peptide433,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,9.88,102.21,3.91,79.19,-5.97,59.49,3.28,60.69,2.42,52.98,-9.86,37.44,0.76,32.48,0.43,22.96,-4.3,20.54,1.02,5.54,-3.26,5.19,-5,-2.57
169.81,202.25,165.1,185.02,167.99,180.95,164.53,169.59,164.62,167.67,155.39,169.46,160.95,162.43,158.12,156.28,168.29,158.78,158.92,156.26,162.23,159.74,165.03,155.94,,Peptide433,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,9.22,41.66,4.51,24.43,7.4,20.36,3.94,9,4.03,7.08,-5.2,8.87,0.36,1.84,-2.47,-4.31,7.7,-1.81,-1.67,-4.33,1.64,-0.85,4.44,-4.65
