47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.01,187.49,167.02,178.1,167.79,182.03,176.71,177.3,169.16,177.88,167.94,184.61,164.23,178.86,166.26,182.82,169,181.87,164.63,186.59,184.31,176.9,188.79,198.04,,Peptide655-1,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,163.64,8.37,23.85,3.38,14.46,4.15,18.39,13.07,13.66,5.52,14.24,4.3,20.97,0.59,15.22,2.62,19.18,5.36,18.23,0.99,22.95,20.67,13.26,25.15,34.4
190.42,184.53,183.24,181.45,180.41,178.75,179.29,178.15,177.86,182.04,175.19,183.41,177.68,180.57,186.48,178.96,180.7,184.01,179.85,181.07,174.4,178.42,184.49,183.77,,Peptide655-1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,26.78,20.89,19.6,17.81,16.77,15.11,15.65,14.51,14.22,18.4,11.55,19.77,14.04,16.93,22.84,15.32,17.06,20.37,16.21,17.43,10.76,14.78,20.85,20.13
162.52,188.58,162.84,184.07,180.71,181.87,167.03,184.5,166.19,183.04,179.7,175.97,176.99,172.68,179.83,182.23,167.44,178.98,162.06,178.64,156.89,180.75,182.5,182.18,,Peptide655-1,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-1.12,24.94,-0.8,20.43,17.07,18.23,3.39,20.86,2.55,19.4,16.06,12.33,13.35,9.04,16.19,18.59,3.8,15.34,-1.58,15,-6.75,17.11,18.86,18.54
200.5,195.18,188.63,191.64,179.48,185.54,185.9,180.02,186.55,174.75,180.56,176.33,190.04,173.51,183.55,179.2,181.58,188.41,177.66,175.87,180.5,180.65,182.21,176.98,,Peptide655-1,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,36.86,31.54,24.99,28,15.84,21.9,22.26,16.38,22.91,11.11,16.92,12.69,26.4,9.87,19.91,15.56,17.94,24.77,14.02,12.23,16.86,17.01,18.57,13.34
166.06,182.8,164.39,186.19,174.38,181.26,181.72,181.82,179.24,178.64,162.98,177.58,180.36,177.7,179.08,174.92,164.89,184.81,164.46,184.99,185.26,170.29,180.12,170.97,,Peptide655-1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2.42,19.16,0.75,22.55,10.74,17.62,18.08,18.18,15.6,15,-0.66,13.94,16.72,14.06,15.44,11.28,1.25,21.17,0.82,21.35,21.62,6.65,16.48,7.33
186,194.13,183.55,182.64,179.89,187.65,177,173.45,182.44,168.14,180.29,178.85,183.34,179.69,175.38,188.76,181.92,179.72,187.55,175.14,183.79,187.12,181.77,188.2,,Peptide655-1,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,22.36,30.49,19.91,19,16.25,24.01,13.36,9.81,18.8,4.5,16.65,15.21,19.7,16.05,11.74,25.12,18.28,16.08,23.91,11.5,20.15,23.48,18.13,24.56
167.46,182.49,161.3,175.46,162.87,183.22,174.01,177.22,181.32,181.43,181.03,178.51,177.58,176.18,165.5,174.79,163.98,180.05,159.88,180.98,160.5,179.75,182.31,187.56,,Peptide655-1,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3.82,18.85,-2.34,11.82,-0.77,19.58,10.37,13.58,17.68,17.79,17.39,14.87,13.94,12.54,1.86,11.15,0.34,16.41,-3.76,17.34,-3.14,16.11,18.67,23.92
183.76,191.42,176.8,189.11,174.98,182.56,181.13,176.76,177.05,175.13,181.04,176.95,181.21,178.49,181.18,178.33,183.87,178.76,171.79,175.59,177.12,176.72,179.11,188.52,,Peptide655-1,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,20.12,27.78,13.16,25.47,11.34,18.92,17.49,13.12,13.41,11.49,17.4,13.31,17.57,14.85,17.54,14.69,20.23,15.12,8.15,11.95,13.48,13.08,15.47,24.88
163.46,177.37,160.4,178.83,163.06,178.92,160.72,176.82,160.57,180.05,166.14,179.87,176.65,177.51,171.92,177.96,170.05,179.39,162.11,182.39,164.63,181.02,181,169.77,,Peptide655-1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-0.18,13.73,-3.24,15.19,-0.58,15.28,-2.92,13.18,-3.07,16.41,2.5,16.23,13.01,13.87,8.28,14.32,6.41,15.75,-1.53,18.75,0.99,17.38,17.36,6.13
197.79,188.58,185.03,183.52,180.58,181,181.83,180.84,178.04,172.78,174.53,176.84,178.5,182.45,179.62,174.49,180.85,182.2,178.85,182.92,180.98,180.03,185.89,188.27,,Peptide655-1,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,34.15,24.94,21.39,19.88,16.94,17.36,18.19,17.2,14.4,9.14,10.89,13.2,14.86,18.81,15.98,10.85,17.21,18.56,15.21,19.28,17.34,16.39,22.25,24.63
161.53,188.84,176.46,186.44,177.64,181.64,163.52,171.99,163.76,181.9,159.25,177.39,172.82,183.43,178.29,176.74,163.21,180.29,162.23,177.84,163.39,177.93,185.5,183.06,,Peptide655-1,TXN,PLCG1-NC,TXN,PLCG1-NC,TXN,PLCG1-NC,TXN,PLCG1-NC,TXN,PLCG1-NC,TXN,PLCG1-NC,TXN,PLCG1-NC,TXN,PLCG1-NC,TXN,PLCG1-NC,TXN,PLCG1-NC,TXN,PLCG1-NC,TXN,PLCG1-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,-2.11,25.2,12.82,22.8,14,18,-0.12,8.35,0.12,18.26,-4.39,13.75,9.18,19.79,14.65,13.1,-0.43,16.65,-1.41,14.2,-0.25,14.29,21.86,19.42
185.83,180.8,179.83,180.85,180.96,174.67,178.18,176.57,175.36,176.44,170.88,178.66,179.52,180.87,184.55,181.81,183.41,178.39,182.81,179.06,176.48,180.68,180.07,191.45,,Peptide655-1,PLCG1-N,SOCS5,PLCG1-N,SOCS5,PLCG1-N,SOCS5,PLCG1-N,SOCS5,PLCG1-N,SOCS5,PLCG1-N,SOCS5,PLCG1-N,SOCS5,PLCG1-N,SOCS5,PLCG1-N,SOCS5,PLCG1-N,SOCS5,PLCG1-N,SOCS5,PLCG1-N,SOCS5,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,22.19,17.16,16.19,17.21,17.32,11.03,14.54,12.93,11.72,12.8,7.24,15.02,15.88,17.23,20.91,18.17,19.77,14.75,19.17,15.42,12.84,17.04,16.43,27.81
