92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163.39,200.74,240.95,198.46,240.95,190.17,238.92,190.46,236.89,190.29,232.18,184.04,228.79,191.75,218.47,193.43,200.64,194.56,195.9,191.18,198.85,195.96,201.99,200.41,,Peptide450A-1,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,PIK3R1-C,GRAP2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,191.305,-27.915,9.435,49.645,7.155,49.645,-1.135,47.615,-0.845,45.585,-1.015,40.875,-7.265,37.485,0.445,27.165,2.125,9.335,3.255,4.595,-0.125,7.545,4.655,10.685,9.105
210.42,208.67,204.97,200.69,195.07,187.2,187.59,192.98,190.38,191.5,187.05,185.56,189.4,186.05,187.42,188.86,188.52,185.55,186.95,195.23,189.66,190.75,191.04,188.42,,Peptide450A-1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,SYK-C,NCK1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,19.115,17.365,13.665,9.385,3.765,-4.105,-3.715,1.675,-0.925,0.195,-4.255,-5.745,-1.905,-5.255,-3.885,-2.445,-2.785,-5.755,-4.355,3.925,-1.645,-0.555,-0.265,-2.885
194.39,204.13,192.82,189.33,188.58,187.24,191.14,186.87,192.21,192.74,182.83,188.06,190.86,188.57,191.55,183.34,193.24,193.93,188.72,183.76,189.76,189.2,193.12,189.9,,Peptide450A-1,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,ZAP70-C,PTPN11-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3.085,12.825,1.515,-1.975,-2.725,-4.065,-0.165,-4.435,0.905,1.435,-8.475,-3.245,-0.445,-2.735,0.245,-7.965,1.935,2.625,-2.585,-7.545,-1.545,-2.105,1.815,-1.405
243.36,265.94,216.43,249.9,208.68,232.79,206.24,224.12,203.91,209.26,196.11,200.08,192.58,201.51,190.07,191.03,186.87,190.52,192.49,191.86,185.59,190.25,186.41,185.56,,Peptide450A-1,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,TENS1,LYN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,52.055,74.635,25.125,58.595,17.375,41.485,14.935,32.815,12.605,17.955,4.805,8.775,1.275,10.205,-1.235,-0.275,-4.435,-0.785,1.185,0.555,-5.715,-1.055,-4.895,-5.745
248.45,205.99,219.27,192.63,209.95,184.08,201.12,190.34,198.92,181.45,186.96,187.66,191.42,194.52,187.45,186.4,186.57,186.67,187.91,191.92,196.89,189.21,191.26,188.82,,Peptide450A-1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,FGR,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,57.145,14.685,27.965,1.325,18.645,-7.225,9.815,-0.965,7.615,-9.855,-4.345,-3.645,0.115,3.215,-3.855,-4.905,-4.735,-4.635,-3.395,0.615,5.585,-2.095,-0.045,-2.485
264.28,234.18,245.05,216.16,238.57,202.09,222.78,198.31,212.44,189.18,198.65,192.34,199.15,191.8,189.56,192.5,192.22,194.87,192.68,190.34,186.98,191.64,192.94,189.88,,Peptide450A-1,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,SOCS3,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,72.975,42.875,53.745,24.855,47.265,10.785,31.475,7.005,21.135,-2.125,7.345,1.035,7.845,0.495,-1.745,1.195,0.915,3.565,1.375,-0.965,-4.325,0.335,1.635,-1.425
210.98,205.02,198.56,200.41,198.28,200.89,189.54,191.63,191.26,191.86,186.45,185.8,192,189.74,185.26,186.09,187.51,184.16,188.23,190.23,190.47,181.96,191.66,185.2,,Peptide450A-1,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,CRK,TEC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,19.675,13.715,7.255,9.105,6.975,9.585,-1.765,0.325,-0.045,0.555,-4.855,-5.505,0.695,-1.565,-6.045,-5.215,-3.795,-7.145,-3.075,-1.075,-0.835,-9.345,0.355,-6.105
229.39,278.58,209.74,273.87,199.78,269.74,191.71,264.72,194.29,260.86,185.8,248.67,186.25,233.04,186.83,211.34,184.58,200.97,181.69,187.51,189.29,188.45,190.83,191.38,,Peptide450A-1,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,PIK3R1-NC,PIK3R1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,38.085,87.275,18.435,82.565,8.475,78.435,0,73.415,2.985,69.555,-5.505,57.365,-5.055,41.735,-4.475,20.035,-6.725,9.665,-9.615,-3.795,-2.015,-2.855,-0.475,0.075
204.84,192.76,190.67,183.82,189.5,185.93,192.44,186.26,194.24,189.3,189.39,180.22,190.98,184.96,193.87,187.47,191.02,184.99,185.02,192.42,189.02,182.83,189.83,183.26,,Peptide450A-1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,VAV2,SOCS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,13.535,1.455,-0.635,-7.485,-1.805,-5.375,1.135,-5.045,2.935,-2.005,-1.915,-11.085,-0.325,-6.345,2.565,-3.835,-0.285,-6.315,-6.285,1.115,-2.285,-8.475,-1.475,-8.045
243.06,263.73,220.74,243.74,205.56,235.37,201.65,224.08,196.49,206.96,192.13,196.8,185.25,194.3,186.1,189.25,186.93,191.43,191.82,187.31,191.97,187.45,190.74,185.85,,Peptide450A-1,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,VAV3,BLK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,51.755,72.425,29.435,52.435,14.255,44.065,10.345,32.775,5.185,15.655,0.825,5.495,-6.055,2.995,-5.205,-2.055,-4.375,0.125,0.515,-3.995,0.665,-3.855,-0.565,-5.455
