45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,,,,,,,,,,,,,,,,,,,,,,,,
160.59,179.16,172.61,194.92,177.17,212.01,174.46,198.38,179.28,192.12,180.62,189.56,178.21,192.22,175.48,184.52,174.98,189.66,202.87,195.64,166.74,186.46,188.77,199.95,,Peptide655-1,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172.14,193.84,196.88,215.29,208.63,180.88,199.23,180.73,194.8,192.51,196.02,186.1,195.65,192.94,186.66,189.33,185.82,188.65,185.29,193.1,187.93,188.14,185.81,192.34,,Peptide655-1,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165.33,163.88,172.61,187.74,179.02,183.45,199.62,195.99,166.48,202.31,165.83,190.95,166.27,169.79,168.32,173.03,176.92,187.33,173.5,185.51,173.76,187.72,189.44,191.13,,Peptide655-1,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173.74,172.75,198.14,176.28,212.47,214.33,174.98,226.51,180.41,191.92,191.02,191.52,188.5,188.26,170.56,172.05,186.11,186.51,184.04,186.69,191.7,185.38,189.08,189.99,,Peptide655-1,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175.79,204.3,176.3,200.52,188.19,205.14,169.87,198.48,166.3,190.15,175.96,194.4,169.04,184.49,168.59,189.2,175.49,179.09,189.6,177.18,165.87,186.15,189.67,187.92,,Peptide655-1,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170.72,166.33,190.22,168.64,179.51,208.24,195.01,199.66,192.26,190.06,189.62,194.52,186.94,193.75,192.87,186.17,183.09,190.05,187.84,190,183.74,192.37,195.25,188.92,,Peptide655-1,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181.23,171.93,199.61,198.75,172.57,203.35,173.71,200.82,174.12,192.09,171.43,192.7,165.37,185.07,175.87,185.59,179.66,185.17,170.05,185,191.18,186.34,185.29,190.03,,Peptide655-1,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,181.99,186.64,191.81,185.49,183.85,189.13,192.48,185.75,186.81,189.45,189.87,188.44,195.23,190.08,190.06,192.72,187.35,188.36,188.14,183.85,181.99,188.65,187.08,,Peptide655-1,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173.26,210.76,173.33,175.79,172.13,185.89,168.16,180.11,170.71,186.29,172.5,188.29,167.96,180.43,170.45,183.4,178.11,183.54,177.33,182.48,192.36,169.26,186.53,193.45,,Peptide655-1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169.24,174.69,169.68,195.24,201.12,203.41,194.61,203.93,200.87,190.83,189.21,185.44,186.25,188.4,188.27,167.63,192.31,185.83,188.44,184.86,182.73,183.27,188.61,191.47,,Peptide655-1,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176.67,167.91,163.74,176.4,168.86,210.38,170.7,186.79,170.55,171.99,174.03,170.23,167.4,186.59,164.97,163.22,173.58,161.55,193.61,178.86,176.41,178.96,188.06,192.02,,Peptide655-1,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170.39,196.91,185.54,177.14,189.45,193.54,196.52,186.56,201.3,186.17,170.91,170.92,168.35,176.84,173.18,182.55,164.96,191.16,164.88,184.37,184.98,187.18,180.6,183.73,,Peptide655-1,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,SYK-C,VAV3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172.93,186.48,200.7,178.47,171.68,187.96,169.13,183.99,173.41,188.79,195.36,186.39,170.22,192.31,178.99,183.3,174.89,185.59,177.22,186.75,172.48,183.51,191.63,188.25,,Peptide655-1,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,PLCG1-NC,SOCS2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175.86,166.11,184.66,194.9,186.39,185.08,194.57,181.75,194.98,192.34,188.9,192.68,174.75,168.42,179.84,185.98,191.46,193.77,188.51,184.7,188.9,183.43,191.01,189.31,,Peptide655-1,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,PTPN11-C,PIK3R1-C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206.72,185.84,174.78,179.42,171.53,190.92,173.97,188.89,176.7,190.14,171.95,195.73,174.7,189.15,174.3,183.11,181.63,188.98,177.64,185.81,177.03,185.59,218.32,216.36,,Peptide655-1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,LYN,SOCS1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201.16,226.73,181.46,205.23,182.33,206.73,172.07,195.12,188.76,175.16,195.55,188.45,188.75,193.15,187.26,188.15,186.53,184.49,182.54,181.25,178.12,184.92,219.73,193.01,,Peptide655-1,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,NCK1,CRK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176.67,167.91,163.74,176.4,168.86,210.38,170.7,186.79,170.55,171.99,174.03,170.23,167.4,186.59,164.97,163.22,173.58,161.55,193.61,178.86,176.41,178.96,188.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
196.37,207.34,186.37,201.32,175.38,171.93,176.58,203.36,169.8,192.53,169.66,168.26,174.06,168.23,169.63,155.86,172.53,165,172.26,168.79,172.49,172.12,173.24,168.39,,Peptide656-1,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205.4,190.5,181.45,193.19,196.47,172.46,179.66,185.86,188.23,183.75,182.71,181.78,174.99,180.87,177.35,179.93,164.09,164.98,166.82,165.85,157.59,165.84,184.51,161.12,,Peptide656-1,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167.41,180.42,179.12,168.83,175.77,174.1,157.18,179.75,189.43,181.65,182.36,162.99,187.27,183.07,189.53,183.45,174.67,177.99,175.28,159.93,182.07,161.35,166.82,167.33,,Peptide656-1,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181.46,201.53,186.21,197.29,182.07,165.66,166.9,189.05,175.18,182.38,179.72,181.47,179.63,180.33,180.48,178.38,171.49,172.57,182.69,183.35,177.89,178.49,185.18,179.12,,Peptide656-1,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160.17,217.5,169.5,202.68,180.34,170.67,180.39,193.68,177.88,159.43,191.95,178.38,186.07,179.25,171.69,183.84,192.61,150.51,177.64,172.94,176.05,164.65,178.47,162.59,,Peptide656-1,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172.68,185.07,181.06,184.2,170.06,186.27,180.19,193.79,179.6,185.91,178.58,186.39,183.69,183.93,184.51,180.85,180.45,177.92,177.31,179.44,177.58,181.68,181.96,178.12,,Peptide656-1,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178.67,306.9,150.82,262.68,168.91,229.15,184.09,208.97,183.47,191.16,185.91,193.46,179.69,173.47,183.19,169.95,183.28,181.64,166.51,172.74,165.4,175.69,178.71,182.63,,Peptide656-1,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185.05,182.36,178.44,183.39,177.71,176.77,177.13,184.27,179.72,180.25,175.18,177.64,166.3,178.19,174.71,177.27,180.07,179.76,179.3,179.67,181.37,177.29,183.95,184.39,,Peptide656-1,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
158.74,197.66,178.68,186.42,183.47,177.6,163.91,161.9,176.08,176.36,166.13,175.4,177.71,181.57,186.72,179.32,165.63,172.95,183.61,169.43,175.92,160.43,178.95,149.49,,Peptide656-1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
301.11,203.92,276.68,192.16,265.16,159.33,217.05,185.22,204.89,172.93,180.53,180.02,186.21,184.93,184.11,173.24,175.16,180.93,179.77,175.52,175.11,177.74,179.63,180.06,,Peptide656-1,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173.03,176.14,169.59,174.46,233.22,176.72,212.52,182.24,211.07,188.77,147.94,159.23,139.47,178.38,156.08,178.23,164.19,178.02,184.62,173.73,176.85,150.75,181.76,159.22,,Peptide656-1,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,PLCG1-N,TXN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
