34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,,,,,,,,,,,,,,,,,,,,,,,,
236.84,213.49,218.04,202.59,224.8,217.22,215.35,214.71,203.85,203.93,188.28,198.41,203.21,201.68,207.92,204.54,206.57,196.5,204.18,199.5,184.43,188.28,197.86,200.33,,Peptide450_1,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,PIK3R1-NC,VAV2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240.9,264.12,222.35,275.74,236.15,253.24,223.08,227.96,205.7,217.06,197.5,209.93,202.45,202.89,195.66,180.44,199.81,183.25,196.45,194.48,197.35,200,197.79,202.96,,Peptide450_1,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,PLCG1-C,BLK,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
285.32,199,265.38,210.73,257.07,195.9,224.85,213.9,223.2,209.46,207.49,199.96,196.02,199.16,206.23,199.52,201.06,194.54,198.35,193.34,202.58,186.6,203.98,196.14,,Peptide450_1,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,FGR,SOCS3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206.98,245.41,203.44,228.02,221.27,227.4,205.84,218.79,202,210.91,198.17,204.1,198.54,200.74,196.43,199.2,204.72,196.69,202.03,194.17,191.42,192.67,195.43,202.39,,Peptide450_1,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,GRAP2,NCK2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
240.63,282.57,212.34,286.67,199.92,281.33,200.44,274.89,196.63,260.16,197.64,255.55,198.33,237.15,200.98,207.94,182.61,208.13,192.7,191.8,193.71,186.13,195.52,198.11,,Peptide450_1,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218.26,224.9,203.38,182.48,217.4,222.42,207.64,204.03,202.31,197.93,201.14,199.18,198.22,192.89,198.79,197.15,196.34,199.37,196.84,195.02,193.91,198.55,194.3,185.47,,Peptide450_1,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,TEC,SOCS6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
257.92,211.3,233.59,212.07,225.26,212.84,220.18,205.67,204.62,199.13,203.63,195.78,202.52,184.08,196.74,173.58,198.03,199.58,195.5,190.53,196.36,195.91,195.14,194.44,,Peptide450_1,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,TNS3,PTPN11-NC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210.14,208.06,202.59,208.83,201.11,211.13,197.67,207.08,201.11,204.21,204.25,203.31,183.78,195.6,184.73,199.02,193,197.19,187.5,186.37,198.77,190.42,198.06,198.1,,Peptide450_1,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,SOCS5,GRB2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237.33,219.75,228.01,212.2,229.54,187.19,211.82,195.67,203.47,195.98,199.98,196.06,199.88,196.84,201.71,199.98,200.45,191.65,196.7,188.66,195.71,180.49,194.04,197.19,,Peptide450_1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,TNS1,VAV1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218.48,302.79,211.62,295.48,228.37,262.24,202.34,244.74,204.99,227.4,205.15,212.72,187.73,186.98,200.52,208.02,195.08,197.25,180.97,189.22,199.18,187.74,194.7,196.24,,Peptide450_1,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,PTPN11-N,SRC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
