Number,Peptide,Protein,Pmax,Kd,Rsquared,P value,MaxP,Points,Outlier 1,Outlier 2,Outlier 3,Run,Norm
Pep468,ErbB1-pY1016,ABL1,99985.51,28249.67866,0.857970435,0.000356837,18.99,12,0,0,0,1,Baseline
Pep468,ErbB1-pY1016,ABL1,1.18E-10,203.2983498,-0.669483614,0.017248632,5.1,12,0,0,0,2,Baseline
Pep468,ErbB1-pY1016,ABL1,1.65,12.09558393,0.507641243,0.134169127,10.6,12,-22.36,-15.94,0,3,Baseline
Pep469,ErbB1-pY1069,ABL1,24439.91,12962.54147,0.649600455,0.022239308,9.06,12,0,0,0,1,Baseline
Pep469,ErbB1-pY1069,ABL1,2.643635007,0,,,9.26,12,0,0,0,2,Baseline
Pep469,ErbB1-pY1069,ABL1,0,204.2603829,-0.183169032,0.568798102,5.66,12,0,0,0,3,Baseline
Pep408,ErbB1-pY1092,ABL1,92349.05,43922.77822,0.647318822,0.022872543,11.65,12,0,0,0,1,Baseline
Pep408,ErbB1-pY1092,ABL1,89728.38248,175116.0455,0.140859772,0.679528313,7.315,12,-14.265,0,0,2,Baseline
Pep408,ErbB1-pY1092,ABL1,99325.42,135794.6443,0.620844405,0.031210763,9.38,12,0,0,0,3,Baseline
Pep471,ErbB1-pY1110,ABL1,95386.15,45249.30526,0.651610141,0.021692203,12.53,12,0,0,0,1,Baseline
Pep471,ErbB1-pY1110,ABL1,93699.91844,127086.6519,0.216145785,0.499850679,4.71,12,0,0,0,2,Baseline
Pep471,ErbB1-pY1110,ABL1,99345.65,71232.7461,0.776055842,0.003003193,18.4,12,0,0,0,3,Baseline
Pep615,ErbB1-pY1125,ABL1,97403.13,69249.91789,0.697622257,0.011658386,17.43,12,0,0,0,3,Baseline
Pep473,ErbB1-pY1138,ABL1,4.48,0.623354175,0.377654316,0.226163571,10.46,12,0,0,0,1,Baseline
Pep473,ErbB1-pY1138,ABL1,3.77E-07,523.2503731,-0.392487966,0.206953096,9.655,12,0,0,0,2,Baseline
Pep473,ErbB1-pY1138,ABL1,99620.38,40986.59053,0.860482792,0.00032782,25.99,12,0,0,0,3,Baseline
Pep508,ErbB1-pY1172,ABL1,10.1,6.353903698,0.389259757,0.211046101,5.16,12,0,0,0,1,Baseline
Pep508,ErbB1-pY1172,ABL1,1.15E-10,374.2434281,-0.029039038,0.928617032,5.355,12,0,0,0,2,Baseline
Pep508,ErbB1-pY1172,ABL1,98869.69,169706.4682,0.604747868,0.037237278,8.27,12,0,0,0,3,Baseline
Pep478,ErbB1-pY1197,ABL1,2.57,0.005510873,0.23556884,0.461087187,8.32,12,0,0,0,1,Baseline
Pep478,ErbB1-pY1197,ABL1,1.22E-07,604.0080659,-0.188945057,0.556452169,4.735,12,0,0,0,2,Baseline
Pep478,ErbB1-pY1197,ABL1,99999.87,101423.7903,0.571757229,0.052104051,12.34,12,0,0,0,3,Baseline
Pep401,ErbB1-pY727,ABL1,14.49,0.884460625,0.74237678,0.005688618,15.3,12,0,0,0,1,Baseline
Pep509,ErbB1-pY727,ABL1,8051.51,25649.33845,-0.223761694,0.484480777,7.44,12,0,0,0,1,Baseline
Pep401,ErbB1-pY727,ABL1,4.94E-06,545.8544355,0.253417222,0.426763584,3.505,12,0,0,0,2,Baseline
Pep509,ErbB1-pY727,ABL1,1.73E-09,273.534345,-0.328902228,0.296544544,6.96,12,0,0,0,2,Baseline
